url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
24,0,2,1,1,-1,0,0,-1,-1,1
81,0,3,0,1,-1,1,1,-1,-1,1
55,0,2,1,0,-1,1,0,1,0,0
66,0,1,0,0,-1,1,0,1,0,1
66,0,2,1,1,-1,1,0,0,0,0
75,0,2,1,1,-1,1,0,0,0,0
58,0,5,0,2,-1,1,0,-1,-1,1
51,0,3,0,1,-1,1,0,0,1,0
37,0,2,1,1,-1,1,0,0,0,0
51,0,3,1,1,-1,1,0,0,0,0
73,0,1,0,0,-1,1,0,-1,-1,1
49,0,2,1,1,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,0,0,1
83,0,2,1,1,-1,0,0,0,0,0
97,0,2,0,1,-1,1,0,0,0,1
27,0,2,0,0,-1,1,0,0,0,0
18,0,1,0,0,-1,0,0,-1,-1,1
73,0,3,0,2,-1,1,0,1,0,1
68,0,1,1,0,-1,1,0,0,0,0
68,0,2,1,1,-1,1,0,0,0,0
23,0,1,0,0,-1,1,0,-1,-1,0
45,0,3,1,1,-1,1,0,0,0,1
105,0,3,0,1,-1,1,0,0,0,1
46,0,2,0,0,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
49,0,2,1,0,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
53,0,2,0,1,-1,1,0,1,0,1
36,0,2,1,1,-1,1,0,0,0,0
44,0,1,1,0,-1,1,0,0,0,0
132,0,5,1,4,-1,1,0,-1,-1,1
35,0,2,0,1,-1,1,0,-1,-1,1
18,0,1,0,0,-1,1,0,1,0,0
36,0,2,0,1,-1,0,0,-1,-1,1
118,0,3,1,1,-1,1,0,0,0,1
112,0,2,1,1,-1,1,0,0,0,1
56,0,5,0,1,-1,1,0,0,0,1
37,0,2,1,1,-1,1,0,0,0,1
53,0,2,1,1,-1,1,0,0,0,0
79,0,3,0,1,-1,1,1,0,0,1
68,0,2,1,1,-1,1,0,-1,-1,0
62,0,2,0,0,-1,0,0,-1,-1,1
50,0,3,0,1,-1,1,0,0,0,1
28,0,1,1,0,-1,1,0,0,0,0
25,0,2,0,1,-1,1,0,-1,-1,1
32,0,1,0,0,-1,1,0,0,0,0
101,0,2,0,1,-1,1,0,0,0,1
71,0,2,1,1,-1,1,0,0,0,0
159,0,6,1,0,-1,0,1,-1,-1,1
28,0,2,0,1,-1,1,0,0,0,1
34,0,1,1,0,-1,1,0,0,0,0
43,0,3,0,1,-1,1,0,0,0,1
77,0,1,0,0,-1,1,0,0,0,1
53,0,2,1,1,-1,1,0,0,0,0
52,0,2,1,0,-1,1,0,1,0,0
33,0,2,0,0,-1,1,0,0,0,0
92,0,3,0,1,-1,1,0,0,0,1
53,0,3,0,1,-1,1,0,-1,-1,1
49,0,2,1,1,-1,1,0,1,0,1
102,0,2,0,1,-1,1,0,0,0,1
27,0,2,0,1,-1,1,0,0,0,1
34,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
42,0,3,0,1,-1,1,0,0,0,1
71,0,3,0,0,-1,1,0,0,0,1
35,0,2,1,0,-1,1,0,0,0,0
19,0,1,1,0,-1,1,0,1,0,1
21,0,1,1,0,-1,1,0,0,0,0
34,0,1,0,0,-1,1,0,0,0,0
26,0,1,1,0,-1,1,0,0,0,0
110,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
121,0,5,1,4,-1,1,0,-1,-1,1
71,0,4,0,2,-1,1,0,-1,-1,1
43,0,3,0,1,-1,1,0,0,1,0
34,0,2,1,1,-1,1,0,0,0,0
39,0,3,1,1,-1,1,0,1,0,0
19,0,2,1,1,-1,1,0,-1,-1,1
44,0,3,1,1,-1,1,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
25,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
70,0,2,1,1,-1,1,0,-1,-1,0
25,0,1,1,0,-1,1,0,0,0,1
39,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
65,0,5,1,3,-1,1,0,-1,-1,1
117,0,3,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
49,0,2,0,1,-1,1,0,0,0,1
49,0,3,0,1,-1,1,0,0,0,0
31,0,2,0,0,-1,0,0,-1,-1,1
44,0,3,0,1,-1,1,0,0,1,0
18,0,1,0,0,-1,1,0,0,1,0
48,0,2,1,1,-1,1,0,-1,-1,0
32,0,1,1,0,-1,1,0,0,0,0
50,0,3,1,1,-1,1,0,-1,-1,1
75,0,2,0,1,-1,1,0,-1,-1,1
198,0,2,0,1,-1,1,0,-1,-1,1
35,0,2,1,1,-1,1,0,-1,-1,1
253,0,3,1,0,-1,0,1,-1,-1,1
52,0,2,1,1,-1,1,0,-1,-1,1
45,0,3,0,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
23,0,2,1,1,-1,1,0,0,0,0
127,0,2,1,1,-1,1,0,1,0,1
44,0,4,0,3,-1,1,0,0,0,1
44,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
33,0,2,1,0,-1,1,0,0,0,0
23,0,2,1,1,-1,1,0,0,0,1
41,0,2,1,1,-1,1,0,-1,-1,1
27,0,2,1,1,-1,1,0,0,0,1
20,0,1,0,0,-1,1,0,-1,-1,0
93,0,2,1,1,-1,1,0,0,0,0
190,0,2,1,1,-1,0,0,-1,-1,1
37,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
46,0,3,0,1,-1,1,0,1,0,1
88,0,2,1,1,-1,1,0,0,0,0
29,0,2,0,1,-1,1,0,0,0,1
54,0,3,1,1,-1,1,0,-1,-1,1
25,0,2,1,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
40,0,2,0,1,-1,1,0,0,0,1
27,0,2,1,1,-1,1,0,-1,-1,1
118,0,4,1,3,-1,1,0,-1,-1,1
65,0,2,1,1,-1,0,0,0,0,0
80,0,3,0,1,-1,1,0,0,0,1
82,0,2,1,1,-1,1,0,-1,-1,1
68,0,4,0,3,-1,1,0,-1,-1,1
43,0,2,1,1,-1,1,0,-1,-1,1
48,0,3,1,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
32,0,2,1,1,-1,1,0,0,0,0
43,0,2,1,1,-1,1,0,-1,-1,1
48,0,3,0,1,-1,1,0,0,0,1
83,0,2,0,1,-1,1,0,0,1,1
26,0,2,0,1,-1,0,1,-1,-1,1
31,0,2,1,1,-1,1,0,0,0,1
57,0,2,1,0,-1,1,0,1,0,0
20,0,1,0,0,-1,1,0,0,0,0
34,0,2,1,1,-1,1,0,0,0,0
125,0,3,1,1,-1,1,0,0,0,1
74,0,4,1,1,-1,1,0,0,0,1
51,0,3,0,1,-1,1,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
28,0,2,1,1,-1,1,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
47,0,2,1,1,-1,0,1,-1,-1,1
34,0,2,0,0,-1,1,0,0,0,0
31,0,2,0,1,-1,1,0,0,0,1
39,0,2,0,1,-1,0,0,0,0,1
74,0,2,0,1,-1,1,0,1,1,1
26,0,2,1,1,-1,1,0,0,0,0
57,0,2,0,0,-1,1,0,-1,-1,1
126,0,3,0,1,-1,0,0,0,0,1
152,0,4,0,0,-1,0,0,-1,-1,1
78,0,2,1,1,-1,1,0,0,0,0
16,0,1,0,0,-1,1,0,0,1,0
63,0,2,1,1,-1,1,0,0,0,0
39,0,2,1,1,-1,1,0,0,0,0
37,0,2,1,1,-1,1,0,-1,-1,0
95,0,3,0,1,-1,0,0,-1,-1,1
15,0,1,0,0,-1,1,1,0,0,1
51,0,2,1,1,-1,1,0,1,0,0
60,0,2,1,1,-1,1,0,0,0,0
40,0,3,0,1,-1,1,0,0,0,0
66,0,3,1,1,-1,0,0,-1,-1,1
68,0,4,0,3,-1,1,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
35,0,2,0,1,-1,1,0,-1,-1,1
80,0,6,1,0,-1,1,0,-1,-1,1
56,0,5,0,1,-1,1,0,0,0,1
76,0,4,0,3,-1,1,0,-1,-1,1
87,0,2,1,1,-1,1,0,0,0,0
125,0,4,1,3,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
79,0,3,1,1,-1,0,0,-1,-1,1
19,0,1,0,0,-1,1,0,-1,-1,1
89,0,2,0,0,-1,1,1,0,0,1
38,0,3,0,1,-1,1,0,0,0,1
53,0,2,1,1,-1,1,0,0,0,0
105,0,3,1,1,-1,1,0,0,0,1
35,0,3,0,1,-1,1,0,0,0,0
55,0,2,1,1,-1,1,0,0,0,0
63,0,2,0,0,-1,1,0,-1,-1,1
51,0,6,1,3,-1,1,0,-1,-1,1
89,0,2,0,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,-1,-1,0
37,0,2,1,1,-1,1,0,0,0,0
61,0,2,1,1,-1,1,0,0,0,0
31,0,2,0,1,-1,1,0,0,0,0
33,0,2,1,1,-1,1,0,0,0,1
19,0,1,1,0,-1,1,0,1,0,1
59,0,4,1,1,-1,1,1,0,0,1
39,0,2,1,1,-1,1,0,-1,-1,1
105,0,1,0,0,-1,0,0,-1,-1,1
42,0,3,0,1,-1,1,0,0,1,0
24,0,2,1,1,-1,1,0,0,0,1
32,0,2,1,1,-1,0,0,-1,-1,1
43,0,2,0,1,-1,1,0,0,0,1
67,0,2,1,1,-1,1,0,-1,-1,0
20,0,1,0,0,-1,1,0,0,0,0
33,0,3,0,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
28,0,1,0,0,-1,1,0,-1,-1,0
32,0,1,1,0,-1,1,0,0,0,0
58,0,2,1,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
57,0,2,0,1,-1,1,0,0,0,1
38,0,2,0,1,-1,1,0,-1,-1,1
130,0,2,1,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
24,0,1,0,0,-1,1,0,-1,-1,0
27,0,1,0,0,-1,1,0,0,0,1
64,0,3,0,1,-1,1,0,0,1,0
77,0,2,0,1,-1,1,0,-1,-1,1
71,0,3,1,1,-1,1,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
69,0,3,1,1,-1,1,0,0,0,0
73,0,1,0,0,-1,1,0,0,0,1
31,0,2,0,1,-1,1,0,-1,-1,1
83,0,2,1,1,-1,0,0,0,0,0
54,0,3,0,1,-1,1,0,0,1,0
42,0,2,1,1,-1,1,0,0,1,0
40,0,2,0,1,-1,1,0,0,0,1
33,0,2,0,0,-1,1,0,0,0,1
57,0,2,1,1,-1,1,0,0,0,0
117,0,4,0,3,-1,1,0,-1,-1,1
50,0,2,1,1,-1,1,0,0,0,0
42,0,2,1,1,-1,1,0,0,0,0
70,0,2,1,1,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,0,0,0
40,0,3,0,1,-1,1,0,0,0,1
31,0,2,1,1,-1,1,0,1,0,1
24,0,2,1,1,-1,1,0,-1,-1,0
199,0,5,1,1,-1,1,0,-1,-1,1
26,0,1,1,0,-1,1,0,0,0,0
105,0,2,0,0,-1,0,0,-1,-1,1
29,0,2,0,1,-1,1,0,-1,-1,1
79,0,4,0,1,-1,0,0,-1,-1,1
35,0,2,1,1,-1,1,0,-1,-1,1
36,0,2,1,1,-1,1,0,0,0,0
32,0,2,0,0,-1,1,0,-1,-1,1
56,0,1,1,0,-1,1,0,1,0,0
18,0,1,0,0,-1,1,0,-1,-1,0
46,0,1,1,0,-1,1,0,0,0,0
17,0,1,1,0,-1,1,0,0,0,1
215,0,1,1,0,-1,1,0,0,0,0
47,0,2,1,1,-1,1,0,-1,-1,0
85,0,3,1,1,-1,1,0,0,0,1
43,0,2,0,0,-1,0,0,-1,-1,1
127,0,4,0,3,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
51,0,2,1,1,-1,1,0,0,1,0
34,0,3,1,1,-1,0,0,-1,-1,1
30,0,3,0,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
47,0,2,0,0,-1,1,0,0,0,1
52,0,2,0,1,-1,1,0,1,0,1
64,0,4,1,1,-1,1,0,0,0,1
56,0,2,1,1,-1,1,0,1,0,0
36,0,2,1,1,-1,1,0,0,0,0
33,0,1,1,0,-1,1,0,0,1,0
27,0,2,1,1,-1,1,0,0,0,1
30,0,2,1,0,-1,1,0,0,0,0
24,0,2,0,1,-1,1,0,0,0,1
33,0,2,0,0,-1,1,0,1,0,0
36,0,2,1,1,-1,1,0,0,0,0
37,0,2,1,1,-1,1,0,0,1,1
70,0,2,1,1,-1,1,0,-1,-1,0
62,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
52,0,1,0,0,-1,1,0,0,0,1
34,0,1,1,0,-1,1,0,1,1,0
43,0,4,0,2,-1,1,0,-1,-1,1
47,0,1,0,0,-1,0,0,-1,-1,1
61,0,3,0,1,-1,1,0,0,0,1
50,0,2,0,1,-1,0,0,-1,-1,1
57,0,1,1,0,-1,1,0,0,0,0
23,0,2,0,1,-1,1,1,0,0,1
37,0,2,1,1,-1,1,1,-1,-1,1
25,0,2,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
49,0,3,0,1,-1,1,0,0,1,0
109,0,3,1,1,-1,1,0,0,0,1
55,0,2,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
52,0,2,1,1,-1,1,0,-1,-1,0
45,0,4,0,3,-1,1,0,-1,-1,1
80,0,2,1,1,-1,1,0,0,0,0
57,0,1,0,0,-1,0,0,-1,-1,1
56,0,2,0,1,-1,1,0,0,0,1
47,0,3,0,1,-1,1,0,0,0,0
77,0,1,0,0,-1,1,0,1,0,1
86,0,1,0,0,-1,1,0,1,0,1
42,0,2,0,1,-1,1,0,0,0,1
83,0,2,1,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
44,0,2,1,1,-1,1,0,0,0,1
37,0,2,1,1,-1,1,0,0,0,0
37,0,2,0,1,-1,1,0,-1,-1,1
85,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
31,0,1,0,0,-1,1,0,0,0,0
72,0,3,0,1,-1,1,0,-1,-1,1
19,0,1,1,0,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
81,0,4,1,2,-1,1,0,0,0,1
59,0,2,1,1,-1,1,0,1,0,1
87,0,2,1,1,-1,1,0,0,0,0
89,0,2,1,1,-1,1,0,0,0,0
63,0,2,1,1,-1,1,0,0,0,0
44,0,2,0,1,-1,1,0,0,0,1
43,0,2,0,1,-1,1,0,0,0,1
74,0,2,0,1,-1,1,0,0,0,1
41,0,1,1,0,-1,1,0,1,0,0
56,0,3,0,1,-1,1,0,0,0,1
51,0,3,1,1,-1,1,0,0,0,0
51,0,2,1,1,-1,1,0,-1,-1,1
59,0,1,1,0,-1,1,0,0,0,0
50,0,2,0,1,-1,1,0,0,1,0
64,0,2,1,1,-1,1,0,0,0,0
48,0,2,1,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
26,0,1,0,0,-1,1,0,-1,-1,0
63,0,2,1,1,-1,1,0,0,0,0
32,0,1,0,0,-1,1,0,0,0,0
50,0,3,0,1,-1,1,1,0,0,1
54,0,2,1,1,-1,1,0,-1,-1,1
206,0,3,1,2,-1,1,0,0,0,1
26,0,3,0,0,-1,1,1,0,0,1
66,0,2,1,1,-1,1,0,0,0,0
28,0,1,0,0,-1,1,0,-1,-1,0
45,0,4,0,3,-1,1,0,-1,-1,1
26,0,2,1,1,-1,1,0,0,0,0
40,0,1,0,0,-1,1,0,0,0,0
39,0,1,0,0,-1,1,0,1,0,0
20,0,1,1,0,-1,1,0,1,0,1
32,0,2,0,0,-1,1,0,0,0,1
51,0,2,1,0,-1,1,0,0,0,0
75,0,2,0,0,-1,0,0,-1,-1,1
76,0,2,1,1,-1,1,0,0,1,0
43,0,3,0,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
100,0,2,0,0,-1,1,0,0,0,1
34,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
29,0,3,1,1,-1,1,0,1,0,1
20,0,1,1,0,-1,1,0,0,0,1
57,0,2,0,1,-1,1,0,-1,-1,1
37,0,2,1,1,-1,1,0,0,0,0
37,0,2,0,0,-1,0,0,-1,-1,1
41,0,2,0,0,-1,1,0,0,0,1
145,0,1,1,0,-1,1,0,0,0,0
36,0,1,0,0,-1,1,0,0,0,0
82,0,3,0,1,-1,1,1,-1,-1,1
25,0,2,1,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
43,0,2,1,1,-1,1,0,-1,-1,1
33,0,2,0,0,-1,1,0,1,0,0
28,0,2,0,1,-1,1,0,0,0,1
60,0,3,0,1,-1,1,0,0,0,0
27,0,2,0,0,-1,1,0,0,0,0
25,0,1,1,0,-1,1,0,0,0,0
25,0,2,1,1,-1,1,0,1,0,1
52,0,2,0,1,-1,1,0,1,0,1
213,0,3,0,0,-1,1,0,0,0,1
38,0,2,0,1,-1,1,0,-1,-1,1
82,0,3,0,1,-1,1,0,0,1,0
55,0,4,0,3,-1,1,0,-1,-1,1
57,0,2,0,1,-1,1,0,0,0,1
57,0,1,1,0,-1,1,0,0,0,0
62,0,2,1,1,-1,1,0,0,0,0
92,0,2,1,1,-1,0,0,0,0,0
39,0,1,1,0,-1,1,0,-1,-1,0
70,0,2,0,1,-1,1,0,0,0,0
61,0,2,1,1,-1,1,0,0,0,1
26,0,3,1,1,-1,1,1,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
98,0,7,1,1,-1,1,0,-1,-1,1
89,0,1,1,0,-1,1,0,0,0,0
30,0,1,1,0,-1,1,0,-1,-1,1
24,0,2,0,1,-1,1,0,1,0,1
52,0,3,0,1,-1,1,0,0,1,0
63,0,1,0,0,-1,0,0,-1,-1,1
35,0,1,1,0,-1,1,0,0,0,0
36,0,3,0,1,-1,1,0,0,0,0
53,0,2,0,1,-1,0,0,-1,-1,1
72,0,2,1,1,-1,1,0,-1,-1,1
121,0,5,0,4,-1,1,0,-1,-1,1
62,0,1,0,0,-1,0,0,-1,-1,1
47,0,3,0,1,-1,1,0,0,0,1
35,0,2,1,1,-1,1,0,0,0,1
31,0,2,1,1,-1,1,0,-1,-1,0
32,0,2,1,1,-1,1,0,0,0,0
21,0,2,0,1,-1,1,0,0,0,0
57,0,4,0,1,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
67,0,2,0,0,-1,1,0,1,0,1
40,0,2,1,1,-1,1,1,0,0,1
20,0,1,0,0,-1,1,0,0,0,0
33,0,2,0,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
105,0,3,0,1,-1,0,0,-1,-1,1
92,0,2,0,1,-1,1,0,-1,-1,1
106,0,4,0,3,-1,1,0,-1,-1,1
30,0,1,0,0,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
130,0,5,0,4,-1,1,0,-1,-1,1
48,0,2,0,1,-1,0,0,-1,-1,1
74,0,2,1,1,-1,1,0,0,0,0
44,0,2,0,1,-1,0,0,-1,-1,1
36,0,1,0,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
38,0,2,1,1,-1,1,0,-1,-1,1
30,0,3,0,1,-1,1,0,0,0,0
101,0,2,1,0,-1,1,0,0,0,1
66,0,2,1,1,-1,1,0,1,1,1
217,0,1,1,0,-1,1,0,0,0,0
73,0,1,0,0,-1,1,0,0,0,1
40,1,4,0,0,-1,0,0,-1,-1,1
72,0,2,1,1,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,0,0,0
34,0,1,0,0,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,0,1,0
403,0,4,0,0,-1,1,0,-1,-1,1
185,0,2,0,1,-1,0,0,-1,-1,1
29,0,2,0,0,-1,1,0,0,0,0
35,0,1,1,0,-1,1,0,0,0,0
148,0,2,1,1,-1,1,0,0,0,0
125,0,4,0,3,-1,1,0,-1,-1,1
32,0,2,0,1,-1,1,1,-1,-1,1
81,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,0,0,0
30,0,2,0,1,-1,1,0,-1,-1,1
37,0,2,1,1,-1,1,0,0,0,1
34,0,2,1,0,-1,1,0,-1,-1,0
48,0,2,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
67,0,1,0,0,-1,0,1,-1,-1,1
380,0,4,0,1,-1,1,1,0,0,1
33,0,2,1,1,-1,1,1,0,0,1
19,0,2,1,1,-1,1,0,0,0,1
40,0,1,1,0,-1,1,0,0,0,1
114,0,3,1,1,-1,1,0,0,0,1
46,0,1,0,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
60,0,2,1,1,-1,1,0,0,0,0
57,0,2,1,1,-1,1,0,0,0,0
97,0,2,0,1,-1,1,0,1,0,1
29,0,2,1,1,-1,1,0,1,1,1
41,0,3,0,1,-1,1,0,0,0,0
114,0,3,0,1,-1,1,0,0,1,1
94,0,2,1,1,-1,0,0,0,0,0
29,0,1,1,0,-1,1,0,0,0,0
41,0,2,1,1,-1,1,0,1,0,1
61,0,1,0,0,-1,1,0,0,0,1
83,0,3,0,1,-1,0,0,-1,-1,1
23,0,1,1,0,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
42,0,2,1,1,-1,1,0,-1,-1,1
18,0,2,0,1,-1,1,1,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
21,0,1,1,0,-1,1,1,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
72,0,5,1,1,-1,1,0,0,0,1
69,0,2,1,1,-1,1,0,0,0,0
31,0,1,1,0,-1,1,0,0,0,0
46,0,1,0,0,-1,1,0,-1,-1,1
60,0,1,1,0,-1,1,0,1,0,0
98,0,4,1,1,-1,0,0,-1,-1,1
84,0,2,1,1,-1,1,0,0,0,0
58,0,2,0,0,-1,1,0,-1,-1,1
49,0,3,0,1,-1,1,0,1,0,1
20,0,1,1,0,-1,1,0,1,0,0
16,0,2,0,0,-1,1,0,1,0,1
67,0,2,1,0,-1,1,0,1,0,0
40,0,2,0,1,-1,1,0,1,0,1
85,0,2,0,0,-1,0,0,-1,-1,1
78,0,2,0,1,-1,1,0,-1,-1,1
42,0,2,0,1,-1,0,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
23,0,1,0,0,-1,0,0,-1,-1,1
103,0,2,1,1,-1,1,0,0,0,0
61,0,2,1,1,-1,1,0,0,0,1
63,0,2,1,1,-1,1,0,0,0,0
35,0,2,0,1,-1,1,0,0,0,1
54,0,1,1,0,-1,1,0,0,1,0
76,0,3,1,1,-1,1,0,0,0,1
28,0,1,1,0,-1,1,0,-1,-1,1
94,0,3,1,1,-1,1,0,0,0,1
69,0,2,1,1,-1,1,0,0,0,0
67,0,3,1,1,-1,0,0,-1,-1,1
27,0,2,0,1,-1,1,0,0,0,1
75,0,2,1,1,-1,1,0,0,0,0
44,0,1,1,0,-1,1,0,-1,-1,1
46,0,2,0,1,-1,1,0,0,0,1
56,0,2,1,1,-1,1,0,0,0,0
69,0,2,0,0,-1,0,0,-1,-1,1
23,0,1,0,0,-1,1,0,0,0,0
32,0,2,1,1,-1,1,0,0,0,0
16,0,1,0,0,-1,1,0,0,0,1
42,0,2,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
23,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
20,0,1,1,0,-1,1,0,1,0,0
44,0,1,1,0,-1,1,0,1,0,0
27,0,1,0,0,-1,1,0,-1,-1,0
245,0,2,0,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
57,0,2,0,1,-1,1,0,-1,-1,1
58,0,3,0,1,-1,1,0,-1,-1,1
18,0,1,1,0,-1,1,0,0,0,0
35,0,2,1,1,-1,1,0,0,0,0
83,0,3,1,1,-1,1,0,0,0,1
34,0,2,1,1,-1,1,0,0,0,0
54,0,2,1,1,-1,1,0,0,0,0
48,0,2,0,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
221,0,6,0,1,-1,1,0,0,0,1
42,0,2,1,1,-1,1,0,0,0,1
21,0,2,0,1,-1,1,0,0,0,1
57,0,3,0,1,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
47,0,1,0,0,-1,0,0,-1,-1,1
53,0,4,1,2,-1,1,0,0,0,1
40,0,1,1,0,-1,1,0,1,0,0
98,0,3,0,0,-1,1,0,0,0,1
87,0,2,1,1,-1,1,0,0,0,1
57,0,2,1,1,-1,1,0,0,0,0
19,0,1,0,0,-1,0,0,-1,-1,1
32,0,1,0,0,-1,1,0,0,0,0
33,0,1,0,0,-1,1,0,0,0,0
49,0,3,0,0,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
47,0,1,1,0,-1,1,0,1,0,0
52,0,2,1,1,-1,1,0,0,0,0
63,0,3,1,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
50,0,2,0,1,-1,1,0,0,0,1
77,0,3,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
47,0,3,0,2,-1,1,0,-1,-1,1
51,0,4,0,1,-1,1,0,0,0,1
282,0,3,1,1,-1,1,0,0,0,1
47,0,3,0,1,-1,1,0,-1,-1,1
49,0,2,0,0,-1,0,1,-1,-1,1
163,0,1,1,0,-1,1,0,0,0,0
54,0,3,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
37,0,2,1,1,-1,1,0,0,0,0
45,0,1,0,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
79,0,4,0,0,-1,1,0,0,0,1
68,0,3,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
25,0,2,0,1,-1,1,0,-1,-1,1
46,0,3,0,1,-1,1,0,0,0,0
41,0,3,0,1,-1,1,0,0,0,0
34,0,2,0,1,-1,1,0,0,0,1
64,0,5,1,3,-1,1,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
68,0,2,1,1,-1,1,0,0,0,0
69,0,4,0,1,-1,1,0,1,0,1
92,0,3,0,0,-1,1,0,0,0,1
125,0,4,0,3,-1,1,0,-1,-1,1
187,0,6,0,0,-1,0,0,-1,-1,1
43,0,2,0,1,-1,1,0,-1,-1,1
58,0,5,1,3,-1,1,0,-1,-1,1
35,0,2,0,1,-1,1,0,0,0,1
83,0,2,0,1,-1,1,0,-1,-1,1
130,0,5,1,1,-1,1,0,-1,-1,1
26,0,1,1,0,-1,1,0,1,0,0
33,0,3,0,1,-1,1,0,0,0,0
51,0,3,0,1,-1,1,0,0,0,0
31,0,2,0,1,-1,1,0,-1,-1,1
50,0,2,0,0,-1,0,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
26,0,2,1,1,-1,1,0,0,0,1
26,0,2,1,1,-1,1,0,0,1,0
